OBJECTID,pointid,grid_code
1186,1186,28.32446289
1187,1187,28.69360352
1188,1188,29.134552
1189,1189,30.47097778
1190,1190,32.19366455
1191,1191,33.22592163
1192,1192,33.67025757
1193,1193,33.94711304
1194,1194,34.02572632
1195,1195,33.89926147
1196,1196,33.71469116
1197,1197,33.50961304
1198,1198,33.21908569
1199,1199,33.00030518
1200,1200,43.59616089
1201,1201,43.71237183
1202,1202,45.16503906
1203,1203,45.41799927
1204,1204,45.25390625
1205,1205,45.09326172
1206,1206,44.75830078
1207,1207,44.32418823
1208,1208,43.74996948
1209,1209,43.10397339
1210,1210,42.51950073
1211,1211,40.25674438
1212,1212,39.73721313
1213,1213,39.49795532
1214,1214,38.93740845
1215,1215,38.38711548
1216,1216,37.80264282
1217,1217,37.01647949
1218,1218,36.37390137
1219,1219,34.9246521
1220,1220,34.34017944
1221,1221,33.53012085
1222,1222,32.71661377
1223,1223,31.16482544
1224,1224,30.28982544
1225,1225,29.42166138
1226,1226,28.15014648
1227,1227,27.75704956
1228,1228,25.51828003
1229,1229,23.20425415
1230,1230,21.15689087
1231,1231,19.20175171
1232,1232,18.00204468
1233,1233,17.07577515
1234,1234,16.41607666
1235,1235,16.28277588
1236,1236,16.06402588
1237,1237,15.85552979
1238,1238,15.70169067
1239,1239,15.40774536
1240,1240,15.36331177
1241,1241,15.28469849
1242,1242,15.39407349
1243,1243,15.15481567
1244,1244,13.85256958
1245,1245,13.58938599
1246,1246,13.32962036
1247,1247,13.09036255
1248,1248,12.86135864
1249,1249,12.67333984
1250,1250,12.546875
1251,1251,12.47509766
1252,1252,12.4375
1253,1253,13.09719849
1254,1254,13.26126099
1255,1255,13.47317505
1256,1256,13.68850708
1257,1257,13.96536255
1258,1258,14.20462036
1259,1259,14.30032349
1260,1260,14.37893677
1261,1261,14.49856567
1262,1262,14.56350708
1263,1263,14.78909302
1264,1264,15.23684692
1265,1265,15.75979614
1266,1266,16.13580322
1267,1267,16.41607666
1268,1268,16.54595947
1269,1269,16.5869751
1270,1270,16.48101807
1271,1271,16.20074463
1272,1272,15.8862915
1273,1273,15.64358521
1274,1274,15.98199463
1275,1275,16.29644775
1276,1276,16.34771729
1277,1277,15.8862915
1278,1278,15.45901489
1279,1279,15.1411438
1280,1280,14.79934692
1281,1281,14.60452271
1282,1282,14.41311646
1283,1283,14.24905396
1284,1284,14.22171021
1285,1285,13.96194458
1286,1286,13.79104614
1287,1287,13.56204224
1288,1288,13.62698364
1289,1289,13.7739563
1290,1290,13.68167114
1291,1291,13.7739563
1292,1292,13.82522583
1293,1293,13.83547974
1294,1294,13.81497192
1295,1295,13.94143677
1296,1296,13.92092896
1297,1297,13.89358521
1298,1298,13.7739563
1299,1299,13.74661255
1300,1300,13.78079224
1301,1301,13.84573364
1302,1302,14.07815552
1303,1303,14.42337036
1304,1304,14.97024536
1305,1305,15.51370239
1306,1306,16.19732666
1307,1307,17.01083374
1308,1308,17.83456421
1309,1309,18.5352478
1310,1310,19.26327515
1311,1311,20.39465332
1312,1312,21.96694946
1313,1313,24.35614014
1314,1314,26.83761597
1315,1315,29.8899231
1316,1316,32.96270752
1317,1317,35.56381226
1318,1318,37.58389282
1319,1319,38.83145142
1320,1320,39.44668579
1321,1321,39.48086548
1322,1322,39.21084595
1323,1323,38.79385376
1324,1324,37.83340454
1325,1325,37.25234985
